market for inert waste, for final disposal;CH;kilogram;inert waste, for final disposal
Exhaust gas treatment 1;RER;kilogram;Exhaust gas treatment 1
Fiber sizing 3;RER;kilogram;Resized fiber
NCA hydroxide;GLO;kilogram;NCA hydroxide
cobalt sulfate;GLO;kilogram;cobalt sulfate
Water, well, in ground;('natural resource', 'in water');cubic meter
reinforcing steel production;Europe without Austria;kilogram;reinforcing steel
PEM electrolyzer, Stack;GLO;unit;PEM electrolyzer, Stack
gearbox, for lorry;RER;kilogram;gearbox, for lorry
Benzene;('air', 'low population density, long-term');kilogram
Butane;('air',);kilogram
ATR BM + CCS (MDEA), 98 (average), with digestate incineration, 25 bar;CH;megajoule;Hydrogen, gaseous, 25 bar
transport, pipeline, supercritical CO2, 200km w/o recompression;RER;ton kilometer;transport, pipeline, supercritical CO2, 200km w/o recompression
Zinc;('air', 'low population density, long-term');kilogram
market for transport, pipeline, onshore, petroleum;RER;ton kilometer;transport, pipeline, onshore, petroleum
transmission network construction, electricity, high voltage;CH;kilometer;transmission network, electricity, high voltage
Fuel tank, compressed hydrogen gas, 700bar;GLO;kilogram;Fuel tank, compressed hydrogen gas, 700bar
NMC-111 oxide;GLO;kilogram;NMC-111 oxide
Heptane;('air', 'non-urban air or from high stacks');kilogram
Anode current collector, LTO;JP;kilogram;Anode current collector, LTO
Clay, unspecified, in ground;('natural resource', 'in ground');kilogram
Ethane;('air', 'urban air close to ground');kilogram
Cyclohexane;('air', 'non-urban air or from high stacks');kilogram
Propane;('air', 'low population density, long-term');kilogram
Water;('water', 'ocean');cubic meter
electricity production, at power plant/natural gas, post, pipeline 200km, storage 1000m;RER;kilowatt hour;electricity, high voltage
Butane;('air', 'non-urban air or from high stacks');kilogram
Carbon monoxide, fossil;('air',);kilogram
pipeline, supercritical CO2/km;RER;kilometer;pipeline, supercritical CO2/km
transmission, for lorry;RER;kilogram;transmission, for lorry
market for methanol;GLO;kilogram;methanol
water production, deionised;Europe without Switzerland;kilogram;water, deionised
exhaust system, for lorry;RER;kilogram;exhaust system, for lorry
1-Pentene;('air', 'low population density, long-term');kilogram
computer production, desktop, without screen;GLO;unit;computer, desktop, without screen
Chromium;('air', 'low population density, long-term');kilogram
metal working, average for copper product manufacturing;RER;kilogram;metal working, average for copper product manufacturing
Fiber stabilization;RER;kilogram;Stabilized fiber
market for used vegetable cooking oil;GLO;kilogram;used vegetable cooking oil
market for aluminium alloy, AlLi;GLO;kilogram;aluminium alloy, AlLi
Bipolar plate;GLO;kilowatt;Bipolar plate
treatment of used lorry, 40 metric ton;CH;unit;used lorry, 40 metric ton
market for graphite;GLO;kilogram;graphite
ethylene glycol production;RoW;kilogram;ethylene glycol
noise, octave 3, day time, suburban;('octave 3', 'day time', 'suburban');joule
Sugar beet cultivation {RER} | sugar beet production Europe | Alloc Rec, U;RER;megajoule;Sugar beet cultivation {RER} | sugar beet production Europe | Alloc Rec, U
treatment of wastewater, average, capacity 1E9l/year;Europe without Switzerland;cubic meter;wastewater, average
